Postcode,Lat,Lon
BD8 0AA,53.80437,-1.80640
BD8 0AB,53.80317,-1.80461
BD8 0AD,53.80446,-1.80465
BD8 0AE,53.80464,-1.80245
BD8 0AF,53.80342,-1.80589
BD8 0AG,53.80394,-1.80248
BD8 0AH,53.80243,-1.80287
BD8 0AJ,53.80227,-1.80335
BD8 0AL,53.80171,-1.80246
BD8 0AN,53.80453,-1.80129
BD8 0AP,53.80196,-1.79965
BD8 0AQ,53.80281,-1.80227
BD8 0AS,53.80182,-1.80109
BD8 0AT,53.80133,-1.79950
BD8 0AU,53.80148,-1.79902
BD8 0AW,53.80318,-1.80005
BD8 0AX,53.80039,-1.79758
BD8 0AY,53.80129,-1.79779
BD8 0AZ,53.80093,-1.79650
BD8 0BA,53.80060,-1.79617
BD8 0BB,53.80159,-1.79498
BD8 0BD,53.80161,-1.79460
BD8 0BE,53.80186,-1.79391
BD8 0BG,53.80146,-1.79421
BD8 0BH,53.80135,-1.79469
BD8 0BJ,53.79975,-1.79379
BD8 0BL,53.79819,-1.79382
BD8 0BN,53.80442,-1.79883
BD8 0BQ,53.80349,-1.79899
BD8 0BR,53.79842,-1.80875
BD8 0BS,53.79869,-1.80785
BD8 0BT,53.79824,-1.79609
BD8 0BU,53.79851,-1.79467
BD8 0BW,53.80487,-1.80072
BD8 0BX,53.79887,-1.79435
BD8 0BY,53.79841,-1.79545
BD8 0BZ,53.79867,-1.79446
BD8 0DA,53.80298,-1.80907
BD8 0DB,53.80254,-1.80847
BD8 0DD,53.80223,-1.80777
BD8 0DE,53.80335,-1.81047
BD8 0DF,53.80211,-1.81069
BD8 0DG,53.80259,-1.80990
BD8 0DH,53.79893,-1.80880
BD8 0DJ,53.79756,-1.80997
BD8 0DL,53.79704,-1.81065
BD8 0DN,53.79683,-1.80915
BD8 0DP,53.79718,-1.80795
BD8 0DQ,53.80138,-1.80916
BD8 0DR,53.79639,-1.80663
BD8 0DS,53.79667,-1.80840
BD8 0DT,53.79622,-1.80865
BD8 0DU,53.79629,-1.80917
BD8 0DW,53.79676,-1.80868
BD8 0DX,53.79568,-1.80835
BD8 0DY,53.79613,-1.80756
BD8 0DZ,53.79950,-1.80803
BD8 0EA,53.79567,-1.80723
BD8 0EB,53.79444,-1.80854
BD8 0ED,53.79386,-1.81067
BD8 0EE,53.79447,-1.80920
BD8 0EF,53.79351,-1.80843
BD8 0EG,53.79264,-1.81046
BD8 0EH,53.79497,-1.80738
BD8 0EJ,53.79334,-1.80643
BD8 0EL,53.79364,-1.80696
BD8 0EN,53.79285,-1.80586
BD8 0EP,53.79448,-1.80243
BD8 0EQ,53.79426,-1.80691
BD8 0ER,53.79314,-1.80376
