Postcode,Lat,Lon
BD5 0AA,53.79081,-1.75644
BD5 0AB,53.79061,-1.75666
BD5 0AD,53.79038,-1.75658
BD5 0AE,53.79056,-1.75646
BD5 0AF,53.79098,-1.75754
BD5 0AG,53.79033,-1.75660
BD5 0AH,53.79056,-1.75646
BD5 0AJ,53.78991,-1.75798
BD5 0AL,53.78991,-1.75792
BD5 0AN,53.78947,-1.75862
BD5 0AP,53.78603,-1.75716
BD5 0AQ,53.78866,-1.75494
BD5 0AR,53.79056,-1.75646
BD5 0AS,53.78968,-1.75665
BD5 0AT,53.78947,-1.75862
BD5 0AX,53.79024,-1.75889
BD5 0AY,53.78947,-1.75862
BD5 0BA,53.78937,-1.75836
BD5 0BB,53.78616,-1.76127
BD5 0BD,53.78858,-1.75863
BD5 0BE,53.78642,-1.76143
BD5 0BG,53.78947,-1.75862
BD5 0BH,53.78970,-1.75906
BD5 0BJ,53.79034,-1.75951
BD5 0BL,53.78835,-1.75948
BD5 0BN,53.78981,-1.76066
BD5 0BP,53.78927,-1.75959
BD5 0BQ,53.79085,-1.75716
BD5 0BS,53.78884,-1.75878
BD5 0BT,53.78858,-1.76014
BD5 0BU,53.78847,-1.75829
BD5 0BW,53.78929,-1.75842
BD5 0BX,53.78872,-1.75714
BD5 0BY,53.78857,-1.75772
BD5 0DA,53.78904,-1.75976
BD5 0DB,53.78907,-1.76139
BD5 0DD,53.78867,-1.75221
BD5 0DE,53.78917,-1.76148
BD5 0DF,53.78857,-1.75711
BD5 0DG,53.79285,-1.75176
BD5 0DH,53.78763,-1.75268
BD5 0DJ,53.78857,-1.75407
BD5 0DN,53.78856,-1.75104
BD5 0DP,53.78899,-1.75226
BD5 0DQ,53.78943,-1.76131
BD5 0DT,53.78827,-1.75227
BD5 0DU,53.78766,-1.75256
BD5 0DW,53.78904,-1.75059
BD5 0DX,53.78811,-1.75094
BD5 0DY,53.78827,-1.75125
BD5 0DZ,53.78800,-1.75171
BD5 0EA,53.78792,-1.75213
BD5 0EE,53.78766,-1.75256
BD5 0EF,53.78766,-1.75256
BD5 0EH,53.78747,-1.75176
BD5 0EL,53.78690,-1.75181
BD5 0EN,53.78757,-1.75162
BD5 0EQ,53.78755,-1.75227
BD5 0ES,53.78587,-1.75257
BD5 0EW,53.78873,-1.75054
BD5 0EX,53.78652,-1.75009
BD5 0EY,53.78620,-1.75181
BD5 0EZ,53.78672,-1.75037
BD5 0HA,53.78586,-1.75105
BD5 0HB,53.78649,-1.75132
BD5 0HD,53.78640,-1.75038
BD5 0HE,53.78697,-1.74921
BD5 0HF,53.78589,-1.74943
BD5 0HG,53.78587,-1.75257
BD5 0HJ,53.78677,-1.75257
BD5 0HL,53.78496,-1.75106
BD5 0HQ,53.78819,-1.75269
BD5 0HR,53.78532,-1.76836
BD5 0HS,53.78650,-1.75875
BD5 0HT,53.78755,-1.75854
BD5 0HU,53.78754,-1.75941
BD5 0HW,53.78544,-1.75097
BD5 0HX,53.78773,-1.75953
BD5 0HY,53.78810,-1.75773
BD5 0HZ,53.78848,-1.75994
BD5 0JA,53.78866,-1.76075
BD5 0JB,53.78764,-1.76073
BD5 0JD,53.78694,-1.76026
BD5 0JE,53.78840,-1.76183
BD5 0JG,53.78628,-1.75943
BD5 0JH,53.78668,-1.75997
BD5 0JJ,53.78616,-1.76127
BD5 0JL,53.78453,-1.75915
BD5 0JN,53.78267,-1.76027
BD5 0JP,53.78152,-1.76490
BD5 0JQ,53.78504,-1.75884
BD5 0JR,53.78148,-1.76225
BD5 0JS,53.78198,-1.76196
BD5 0JT,53.78232,-1.76320
BD5 0JU,53.78227,-1.76434
BD5 0JW,53.78219,-1.76156
BD5 0JX,53.78683,-1.76103
BD5 0JY,53.78169,-1.76370
BD5 0JZ,53.78169,-1.76246
BD5 0LA,53.78216,-1.76317
BD5 0LB,53.78188,-1.76338
BD5 0LD,53.78434,-1.76918
BD5 0LE,53.78137,-1.76345
BD5 0LF,53.78195,-1.76452
BD5 0LG,53.78115,-1.76506
BD5 0LH,53.78125,-1.76458
BD5 0LJ,53.78062,-1.76482
BD5 0LL,53.78139,-1.76170
BD5 0LN,53.78043,-1.76386
BD5 0LP,53.77960,-1.76627
BD5 0LQ,53.78087,-1.76392
BD5 0LT,53.77899,-1.76471
BD5 0LW,53.77960,-1.76627
BD5 0LX,53.78050,-1.76474
BD5 0LY,53.78050,-1.76474
BD5 0NA,53.78371,-1.76071
BD5 0NB,53.78345,-1.76392
BD5 0ND,53.78358,-1.76421
BD5 0NE,53.78523,-1.76293
BD5 0NF,53.78411,-1.76395
BD5 0NG,53.78493,-1.76504
BD5 0NH,53.78571,-1.76736
BD5 0NJ,53.78407,-1.76735
BD5 0NL,53.78314,-1.76587
BD5 0NN,53.78235,-1.76619
BD5 0NP,53.78232,-1.76727
BD5 0NQ,53.78629,-1.76785
BD5 0NR,53.78171,-1.76738
BD5 0NS,53.78154,-1.76692
BD5 0NT,53.78109,-1.76658
BD5 0NU,53.78240,-1.76567
BD5 0NW,53.78668,-1.76689
BD5 0NX,53.78242,-1.76488
