Postcode,Lat,Lon
BD10 0AA,53.84368,-1.73541
BD10 0AB,53.84382,-1.73408
BD10 0AD,53.84338,-1.73524
BD10 0AE,53.84502,-1.74294
BD10 0AF,53.82028,-1.70859
BD10 0AG,53.84542,-1.74264
BD10 0AH,53.84256,-1.73792
BD10 0AJ,53.84192,-1.74247
BD10 0AL,53.84138,-1.74379
BD10 0AN,53.84043,-1.74802
BD10 0AP,53.84533,-1.74348
BD10 0AQ,53.82008,-1.70832
BD10 0AR,53.82929,-1.71058
BD10 0AS,53.83613,-1.72188
BD10 0AT,53.81998,-1.70868
BD10 0AU,53.83633,-1.71992
BD10 0AW,53.82053,-1.70862
BD10 0AX,53.83646,-1.71713
BD10 0AY,53.82051,-1.70899
BD10 0AZ,53.84309,-1.72780
BD10 0BA,53.83167,-1.71052
BD10 0BB,53.83170,-1.70942
BD10 0BD,53.83058,-1.70706
BD10 0BE,53.83017,-1.70770
BD10 0BG,53.83080,-1.70762
BD10 0BH,53.82823,-1.70635
BD10 0BJ,53.82947,-1.70774
BD10 0BL,53.82999,-1.70903
BD10 0BN,53.83011,-1.70835
BD10 0BP,53.83093,-1.70905
BD10 0BS,53.83139,-1.70984
BD10 0BT,53.83097,-1.71022
BD10 0BU,53.83123,-1.71053
BD10 0BW,53.83125,-1.70887
BD10 0BX,53.83066,-1.71069
BD10 0BY,53.82917,-1.71019
BD10 0BZ,53.80221,-1.75586
BD10 0DA,53.82853,-1.70863
BD10 0DB,53.82932,-1.70895
BD10 0DD,53.82681,-1.71028
BD10 0DE,53.82867,-1.70787
BD10 0DF,53.84035,-1.72479
BD10 0DG,53.82794,-1.70831
BD10 0DH,53.82771,-1.70817
BD10 0DJ,53.82681,-1.70757
BD10 0DL,53.82637,-1.70825
BD10 0DN,53.82585,-1.70845
BD10 0DP,53.82635,-1.70969
BD10 0DQ,53.83742,-1.71883
BD10 0DR,53.82762,-1.70890
BD10 0DS,53.82743,-1.71087
BD10 0DT,53.82604,-1.71116
BD10 0DU,53.82632,-1.71227
BD10 0DW,53.83706,-1.71834
BD10 0DX,53.82569,-1.71250
BD10 0DY,53.82569,-1.71281
BD10 0DZ,53.83788,-1.71627
BD10 0EA,53.82532,-1.71216
BD10 0EB,53.82566,-1.71398
BD10 0ED,53.82536,-1.71482
BD10 0EE,53.83791,-1.71747
BD10 0EF,53.82495,-1.71353
BD10 0EG,53.83814,-1.71877
BD10 0EH,53.82661,-1.71310
BD10 0EJ,53.83834,-1.71829
BD10 0EL,53.83926,-1.72064
BD10 0EN,53.83885,-1.71880
BD10 0EP,53.82224,-1.71550
BD10 0EQ,53.82629,-1.71443
BD10 0ER,53.82213,-1.71610
BD10 0ES,53.82279,-1.71649
BD10 0ET,53.82329,-1.71705
BD10 0EU,53.82449,-1.71573
BD10 0EW,53.83892,-1.72090
BD10 0EX,53.82353,-1.71589
BD10 0EY,53.82462,-1.70805
BD10 0EZ,53.82364,-1.70940
BD10 0FA,53.83701,-1.71781
BD10 0FB,53.83682,-1.71675
BD10 0FF,53.83301,-1.70749
BD10 0FG,53.83239,-1.70798
BD10 0FH,53.83229,-1.70730
BD10 0FJ,53.83154,-1.70638
BD10 0FL,53.83117,-1.70677
BD10 0FN,53.83528,-1.70547
BD10 0FP,53.83607,-1.70508
BD10 0FQ,53.82752,-1.71251
BD10 0FR,53.83547,-1.70741
BD10 0HA,53.82352,-1.70982
BD10 0HB,53.82331,-1.70960
BD10 0HD,53.82170,-1.71018
BD10 0HE,53.82236,-1.71102
BD10 0HF,53.82092,-1.70736
BD10 0HG,53.82412,-1.70814
BD10 0HH,53.82118,-1.70815
BD10 0HJ,53.81857,-1.70807
BD10 0HL,53.81993,-1.70765
BD10 0HN,53.82292,-1.70775
BD10 0HP,53.81363,-1.70988
BD10 0HQ,53.82337,-1.70820
BD10 0HR,53.82301,-1.70892
BD10 0HS,53.81496,-1.70981
BD10 0HT,53.81961,-1.71507
BD10 0HU,53.82099,-1.71410
BD10 0HW,53.82459,-1.70691
BD10 0HX,53.82026,-1.71307
BD10 0HY,53.82125,-1.71194
BD10 0HZ,53.82165,-1.70962
BD10 0JA,53.82143,-1.71299
BD10 0JB,53.82168,-1.71135
BD10 0JD,53.81779,-1.70955
BD10 0JE,53.82309,-1.71213
BD10 0JF,53.81469,-1.71136
BD10 0JG,53.81463,-1.71080
BD10 0JH,53.81942,-1.71162
BD10 0JJ,53.81818,-1.71082
BD10 0JL,53.81939,-1.71318
BD10 0JN,53.81834,-1.71331
BD10 0JP,53.81878,-1.71447
BD10 0JQ,53.82071,-1.71198
BD10 0JR,53.81712,-1.71262
BD10 0JS,53.81637,-1.71289
BD10 0JT,53.81628,-1.71116
BD10 0JU,53.81531,-1.71078
BD10 0JW,53.81810,-1.70985
BD10 0JX,53.81502,-1.70904
BD10 0JY,53.81646,-1.71062
BD10 0JZ,53.81630,-1.70909
BD10 0LA,53.81789,-1.70935
BD10 0LB,53.81873,-1.70872
BD10 0LD,53.79666,-1.75117
BD10 0LE,53.81716,-1.70840
BD10 0LF,53.83520,-1.70978
BD10 0LG,53.81791,-1.70944
BD10 0LH,53.81884,-1.71006
BD10 0LJ,53.81912,-1.70988
BD10 0LL,53.82006,-1.70972
BD10 0LN,53.81972,-1.71063
BD10 0LP,53.83542,-1.70944
BD10 0LQ,53.83483,-1.71002
BD10 0LR,53.81739,-1.70923
BD10 0LS,53.83440,-1.70938
BD10 0LT,53.83477,-1.70772
BD10 0LU,53.83428,-1.70821
BD10 0LW,53.83471,-1.70840
BD10 0LX,53.83235,-1.70931
BD10 0LY,53.83488,-1.71005
BD10 0LZ,53.83522,-1.70806
BD10 0NA,53.83621,-1.70742
BD10 0NB,53.83613,-1.70614
BD10 0ND,53.83656,-1.70681
BD10 0NE,53.83431,-1.71126
BD10 0NF,53.83640,-1.70453
BD10 0NG,53.83538,-1.70692
BD10 0NH,53.83557,-1.70455
BD10 0NN,53.83799,-1.70487
BD10 0NP,53.83906,-1.70440
BD10 0NQ,53.83627,-1.70383
BD10 0NT,53.84121,-1.70440
BD10 0NU,53.84148,-1.70361
BD10 0NW,53.83464,-1.70688
BD10 0NY,53.84075,-1.70365
BD10 0NZ,53.84046,-1.70365
BD10 0PB,53.84642,-1.70347
