Postcode,Lat,Lon
BD3 0AA,53.79880,-1.73938
BD3 0AB,53.79902,-1.73005
BD3 0AD,53.79929,-1.73236
BD3 0AE,53.80012,-1.73213
BD3 0AF,53.79844,-1.73435
BD3 0AG,53.80054,-1.73291
BD3 0AH,53.79916,-1.73326
BD3 0AJ,53.79818,-1.73334
BD3 0AL,53.79958,-1.73403
BD3 0AN,53.79913,-1.73370
BD3 0AP,53.80052,-1.73377
BD3 0AQ,53.79926,-1.73282
BD3 0AR,53.79844,-1.73148
BD3 0AS,53.79964,-1.73139
BD3 0AT,53.79965,-1.73057
BD3 0AU,53.79842,-1.73187
BD3 0AW,53.79984,-1.73397
BD3 0AX,53.79798,-1.74124
BD3 0AY,53.80918,-1.74982
BD3 0AZ,53.79961,-1.73479
BD3 0BA,53.80000,-1.73442
BD3 0BB,53.79749,-1.74090
BD3 0BD,53.79758,-1.74156
BD3 0BE,53.79760,-1.74228
BD3 0BG,53.79784,-1.74016
BD3 0BH,53.79753,-1.74188
BD3 0BJ,53.79706,-1.74018
BD3 0BL,53.79886,-1.74023
BD3 0BN,53.79924,-1.74012
BD3 0BP,53.79741,-1.73943
BD3 0BQ,53.79894,-1.74361
BD3 0BS,53.79823,-1.74029
BD3 0BT,53.79865,-1.74351
BD3 0BU,53.79832,-1.74366
BD3 0BW,53.79912,-1.74050
BD3 0BX,53.79778,-1.74401
BD3 0BY,53.79745,-1.74403
BD3 0BZ,53.79738,-1.74084
BD3 0DA,53.79714,-1.74359
BD3 0DB,53.79743,-1.74321
BD3 0DD,53.79800,-1.74321
BD3 0DE,53.79795,-1.74295
BD3 0DF,53.79862,-1.74281
BD3 0DG,53.80132,-1.74221
BD3 0DH,53.80035,-1.74360
BD3 0DJ,53.80244,-1.74253
BD3 0DL,53.80187,-1.74164
BD3 0DN,53.80237,-1.74156
BD3 0DP,53.79850,-1.74281
BD3 0DQ,53.80141,-1.74133
BD3 0DR,53.80273,-1.74230
BD3 0DS,53.80023,-1.74338
BD3 0DT,53.79801,-1.74245
BD3 0DU,53.80208,-1.73867
BD3 0DW,53.80316,-1.74079
BD3 0DX,53.80157,-1.74364
BD3 0DY,53.79773,-1.74307
BD3 0DZ,53.80076,-1.74378
BD3 0EA,53.80055,-1.74093
BD3 0EB,53.80011,-1.74228
BD3 0ED,53.80130,-1.74776
BD3 0EE,53.80064,-1.74624
BD3 0EF,53.80043,-1.74606
BD3 0EG,53.80577,-1.73543
BD3 0EH,53.80560,-1.73665
BD3 0EJ,53.79873,-1.74375
BD3 0EL,53.79909,-1.74448
BD3 0EN,53.79843,-1.74491
BD3 0EP,53.79807,-1.74453
BD3 0EQ,53.79874,-1.74547
BD3 0ER,53.79884,-1.74519
BD3 0ES,53.79852,-1.74418
BD3 0ET,53.79887,-1.74395
BD3 0EU,53.79889,-1.74334
BD3 0EW,53.80082,-1.74207
BD3 0EX,53.79922,-1.74325
BD3 0EY,53.79945,-1.74323
BD3 0EZ,53.80188,-1.74488
BD3 0FA,53.80884,-1.75077
BD3 0FB,53.80939,-1.75000
BD3 0HA,53.80151,-1.74537
BD3 0HD,53.80229,-1.74757
BD3 0HE,53.80214,-1.74573
BD3 0HF,53.80203,-1.74640
BD3 0HG,53.80251,-1.74625
BD3 0HH,53.80269,-1.74635
BD3 0HJ,53.80282,-1.74455
BD3 0HL,53.80301,-1.74530
BD3 0HN,53.80236,-1.74400
BD3 0HQ,53.80291,-1.74556
BD3 0HR,53.80257,-1.74378
BD3 0HS,53.80322,-1.74460
BD3 0HT,53.80323,-1.74334
BD3 0HW,53.80417,-1.74732
BD3 0HX,53.80251,-1.74312
BD3 0HY,53.80371,-1.74293
BD3 0HZ,53.80293,-1.74336
BD3 0JA,53.80377,-1.74361
BD3 0JB,53.80439,-1.74428
BD3 0JD,53.80369,-1.74569
BD3 0JE,53.80414,-1.74349
BD3 0JF,53.80433,-1.74282
BD3 0JG,53.80438,-1.74361
BD3 0JH,53.80384,-1.74235
BD3 0JJ,53.80651,-1.73878
BD3 0JN,53.80651,-1.74030
BD3 0JP,53.80590,-1.74240
BD3 0JQ,53.80472,-1.74335
BD3 0JR,53.80651,-1.74030
BD3 0JS,53.80361,-1.74203
BD3 0JT,53.80362,-1.74129
BD3 0JU,53.80438,-1.74148
BD3 0JW,53.80562,-1.74334
BD3 0JX,53.80477,-1.74098
BD3 0JY,53.80620,-1.74162
BD3 0JZ,53.80690,-1.74063
BD3 0LA,53.80738,-1.74136
BD3 0LB,53.80617,-1.74024
BD3 0LD,53.80621,-1.73929
BD3 0LE,53.80776,-1.73943
BD3 0LF,53.80806,-1.73848
BD3 0LG,53.80635,-1.73897
BD3 0LH,53.80667,-1.73810
BD3 0LJ,53.80622,-1.73721
BD3 0LL,53.80790,-1.74084
BD3 0LN,53.80562,-1.73858
BD3 0LP,53.80577,-1.74089
BD3 0LQ,53.80711,-1.73796
BD3 0LR,53.80495,-1.74423
BD3 0LS,53.80472,-1.74183
BD3 0LT,53.80556,-1.74608
BD3 0LU,53.80472,-1.74335
BD3 0LW,53.80577,-1.73973
BD3 0LX,53.80564,-1.74630
BD3 0LY,53.80658,-1.74853
BD3 0LZ,53.80719,-1.74955
BD3 0NA,53.80646,-1.74947
BD3 0NB,53.80563,-1.74977
BD3 0ND,53.80634,-1.74987
BD3 0NE,53.80521,-1.75038
BD3 0NF,53.80887,-1.74943
BD3 0NG,53.80865,-1.75016
BD3 0NH,53.80823,-1.75087
BD3 0NQ,53.80962,-1.74943
BD3 0NR,53.80114,-1.74945
BD3 0NS,53.80114,-1.74945
BD3 0NT,53.79934,-1.74945
BD3 0NW,53.80359,-1.75017
BD3 0NX,53.79938,-1.74862
