Postcode,Lat,Lon
BD17 5AA,53.85023,-1.77172
BD17 5AB,53.85091,-1.77314
BD17 5AD,53.85129,-1.77421
BD17 5AE,53.85028,-1.77321
BD17 5AF,53.84945,-1.77301
BD17 5AG,53.84969,-1.77585
BD17 5AH,53.84886,-1.77389
BD17 5AJ,53.84982,-1.77702
BD17 5AL,53.85119,-1.77760
BD17 5AN,53.85073,-1.77628
BD17 5AP,53.85157,-1.78160
BD17 5AQ,53.84914,-1.77358
BD17 5AR,53.85195,-1.78646
BD17 5AS,53.85144,-1.77593
BD17 5AT,53.84762,-1.79468
BD17 5AU,53.84616,-1.78497
BD17 5AW,53.85051,-1.77875
BD17 5AX,53.84058,-1.78777
BD17 5AY,53.83882,-1.77249
BD17 5AZ,53.84197,-1.77095
BD17 5BA,53.84823,-1.79039
BD17 5BB,53.84765,-1.79208
BD17 5BD,53.84640,-1.79368
BD17 5BE,53.84584,-1.79199
BD17 5BG,53.84767,-1.79363
BD17 5BH,53.84712,-1.79739
BD17 5BJ,53.84664,-1.79670
BD17 5BL,53.84727,-1.79817
BD17 5BN,53.84592,-1.79692
BD17 5BP,53.84844,-1.79263
BD17 5BQ,53.84648,-1.79602
BD17 5BS,53.84856,-1.77940
BD17 5BT,53.84840,-1.77911
BD17 5BU,53.84869,-1.77885
BD17 5BW,53.84541,-1.79407
BD17 5BX,53.84841,-1.78022
BD17 5BY,53.84786,-1.78039
BD17 5BZ,53.84540,-1.79725
BD17 5DA,53.84868,-1.79373
BD17 5DB,53.84824,-1.79558
BD17 5DD,53.84578,-1.78847
BD17 5DE,53.84583,-1.78408
BD17 5DF,53.84641,-1.78336
BD17 5DG,53.84527,-1.78759
BD17 5DH,53.84813,-1.77809
BD17 5DJ,53.84582,-1.78215
BD17 5DL,53.84732,-1.78302
BD17 5DN,53.84568,-1.78375
BD17 5DP,53.84679,-1.78638
BD17 5DQ,53.84562,-1.78795
BD17 5DR,53.84644,-1.78559
BD17 5DS,53.84713,-1.78731
BD17 5DT,53.84683,-1.78804
BD17 5DU,53.84727,-1.78638
BD17 5DW,53.84680,-1.78491
BD17 5DX,53.84740,-1.78845
BD17 5DY,53.84769,-1.79050
BD17 5DZ,53.84621,-1.79084
BD17 5EA,53.84724,-1.80153
BD17 5EB,53.85204,-1.80166
BD17 5ED,53.85130,-1.79291
BD17 5EE,53.85607,-1.79240
BD17 5EG,53.84642,-1.78795
BD17 5EH,53.85299,-1.76717
BD17 5EJ,53.85270,-1.76718
BD17 5EL,53.85265,-1.76677
BD17 5EN,53.85257,-1.76702
BD17 5EP,53.85305,-1.76757
BD17 5EQ,53.84546,-1.78599
BD17 5ER,53.84506,-1.79590
BD17 5ES,53.85269,-1.76838
BD17 5ET,53.85236,-1.76855
BD17 5EU,53.85273,-1.76887
BD17 5EW,53.85252,-1.76743
BD17 5EX,53.85273,-1.77013
BD17 5EY,53.85224,-1.77013
BD17 5EZ,53.85157,-1.76903
BD17 5FA,53.84271,-1.77104
BD17 5FB,53.84122,-1.77646
BD17 5HA,53.85157,-1.77075
BD17 5HB,53.85086,-1.77093
BD17 5HD,53.85104,-1.77199
BD17 5HE,53.85181,-1.77363
BD17 5HF,53.85143,-1.76854
BD17 5HG,53.85122,-1.76879
BD17 5HH,53.85198,-1.76790
BD17 5HJ,53.85151,-1.76701
BD17 5HL,53.84979,-1.76918
BD17 5HN,53.84979,-1.76928
BD17 5HP,53.85207,-1.77435
BD17 5HQ,53.85140,-1.76786
BD17 5HR,53.84065,-1.78635
BD17 5HS,53.84104,-1.78553
BD17 5HT,53.84048,-1.78526
BD17 5HU,53.84058,-1.78322
BD17 5HW,53.85093,-1.77181
BD17 5HX,53.84038,-1.78389
BD17 5HY,53.84196,-1.78335
BD17 5HZ,53.84109,-1.78168
BD17 5JA,53.84200,-1.78150
BD17 5JB,53.84160,-1.78043
BD17 5JD,53.84104,-1.78104
BD17 5JE,53.83980,-1.77885
BD17 5JF,53.83966,-1.77622
BD17 5JH,53.83829,-1.77521
BD17 5JL,53.83871,-1.77729
BD17 5JS,53.83837,-1.77299
BD17 5JT,53.83938,-1.77250
BD17 5JU,53.83956,-1.77420
BD17 5JX,53.83989,-1.77432
BD17 5JZ,53.83982,-1.77304
BD17 5LA,53.84007,-1.77128
BD17 5LB,53.83979,-1.77058
BD17 5LD,53.84229,-1.77791
BD17 5LE,53.84018,-1.77520
BD17 5LF,53.84021,-1.77423
BD17 5LG,53.85547,-1.77820
BD17 5LH,53.85213,-1.77260
BD17 5LJ,53.85445,-1.77882
BD17 5LL,53.84883,-1.77652
BD17 5LN,53.85304,-1.77198
BD17 5LP,53.85255,-1.77487
BD17 5LQ,53.85417,-1.77753
BD17 5LR,53.85286,-1.77603
BD17 5LS,53.85358,-1.77689
BD17 5LT,53.85321,-1.77619
BD17 5LU,53.85405,-1.77532
BD17 5LW,53.85359,-1.77420
BD17 5LX,53.85482,-1.77585
BD17 5LY,53.85454,-1.77394
BD17 5LZ,53.85367,-1.77253
BD17 5NA,53.85313,-1.76987
BD17 5NB,53.85411,-1.76997
BD17 5ND,53.85417,-1.77122
BD17 5NE,53.85426,-1.77208
BD17 5NF,53.85490,-1.77197
BD17 5NG,53.85376,-1.76821
BD17 5NH,53.85307,-1.76893
BD17 5NJ,53.85293,-1.77084
BD17 5NL,53.85272,-1.77092
BD17 5NN,53.85476,-1.76918
BD17 5NP,53.85487,-1.77021
BD17 5NQ,53.85346,-1.76839
BD17 5NR,53.85553,-1.76989
BD17 5NS,53.85572,-1.77107
BD17 5NT,53.85633,-1.77081
BD17 5NU,53.85577,-1.77170
BD17 5NW,53.85436,-1.76862
BD17 5NX,53.85535,-1.77157
BD17 5PA,53.85535,-1.77273
BD17 5PB,53.85458,-1.77293
BD17 5PD,53.85498,-1.77396
