Postcode,Lat,Lon
BD15 0AA,53.82357,-1.86101
BD15 0AB,53.82319,-1.86069
BD15 0AD,53.82331,-1.86109
BD15 0AE,53.82424,-1.85952
BD15 0AG,53.82289,-1.86173
BD15 0AH,53.82270,-1.85924
BD15 0AJ,53.82305,-1.86132
BD15 0AL,53.82217,-1.86211
BD15 0AN,53.82328,-1.86101
BD15 0AP,53.82267,-1.85962
BD15 0AQ,53.82230,-1.85939
BD15 0AR,53.82273,-1.86079
BD15 0AS,53.82226,-1.85983
BD15 0AT,53.82276,-1.85658
BD15 0AU,53.82199,-1.86173
BD15 0AW,53.82230,-1.85939
BD15 0AX,53.82200,-1.85991
BD15 0AY,53.82186,-1.85860
BD15 0AZ,53.82253,-1.85697
BD15 0BA,53.82130,-1.85856
BD15 0BB,53.82119,-1.85810
BD15 0BD,53.82078,-1.85686
BD15 0BE,53.82404,-1.86963
BD15 0BG,53.82399,-1.86651
BD15 0BH,53.82516,-1.86599
BD15 0BJ,53.82587,-1.87256
BD15 0BL,53.83040,-1.87298
BD15 0BN,53.82616,-1.87952
BD15 0BP,53.81758,-1.87613
BD15 0BQ,53.82500,-1.86535
BD15 0BS,53.81583,-1.88068
BD15 0BT,53.81783,-1.87481
BD15 0BU,53.82032,-1.87100
BD15 0BW,53.82199,-1.87853
BD15 0BX,53.81647,-1.87370
BD15 0BY,53.81360,-1.87446
BD15 0BZ,53.81177,-1.86968
BD15 0DA,53.81564,-1.86998
BD15 0DB,53.81606,-1.86950
BD15 0DD,53.81410,-1.86513
BD15 0DE,53.81553,-1.86439
BD15 0DG,53.82310,-1.85984
BD15 0DH,53.82044,-1.85358
BD15 0DJ,53.82088,-1.85101
BD15 0DL,53.82464,-1.85455
BD15 0DN,53.82465,-1.85324
BD15 0DP,53.82590,-1.86418
BD15 0DQ,53.81636,-1.84815
BD15 0DR,53.82144,-1.85339
BD15 0DS,53.82559,-1.85868
BD15 0DT,53.82055,-1.85882
BD15 0DU,53.82638,-1.86522
BD15 0DW,53.82482,-1.85343
BD15 0DX,53.82429,-1.86169
BD15 0DY,53.82383,-1.86127
BD15 0DZ,53.82429,-1.86115
BD15 0EA,53.82526,-1.86081
BD15 0EB,53.82587,-1.86173
BD15 0ED,53.82518,-1.86217
BD15 0EE,53.82503,-1.86193
BD15 0EF,53.82397,-1.86219
BD15 0EG,53.82658,-1.86340
BD15 0EH,53.82430,-1.86292
BD15 0EJ,53.82641,-1.86427
BD15 0EL,53.82643,-1.86436
BD15 0EN,53.82688,-1.86405
BD15 0EP,53.82604,-1.86460
BD15 0EQ,53.82515,-1.86353
BD15 0ER,53.82740,-1.86416
BD15 0ES,53.82874,-1.86607
BD15 0ET,53.82684,-1.86530
BD15 0EU,53.82900,-1.86687
BD15 0EX,53.82721,-1.86607
BD15 0EY,53.82798,-1.86586
BD15 0EZ,53.82807,-1.86741
BD15 0FA,53.82107,-1.85642
BD15 0FB,53.82168,-1.85555
BD15 0FD,53.82075,-1.85263
BD15 0FE,53.82054,-1.85578
BD15 0FG,53.82068,-1.85447
BD15 0FH,53.82150,-1.85517
BD15 0FJ,53.82169,-1.85679
BD15 0FL,53.82107,-1.85285
BD15 0FN,53.82196,-1.85541
BD15 0FP,53.81905,-1.86473
BD15 0HA,53.82864,-1.86861
BD15 0HB,53.82686,-1.86817
BD15 0HD,53.82843,-1.86923
BD15 0HE,53.82683,-1.86781
BD15 0HF,53.81734,-1.85751
BD15 0HH,53.82550,-1.86512
BD15 0HJ,53.82538,-1.86283
BD15 0HL,53.82279,-1.86182
BD15 0HN,53.82259,-1.86521
BD15 0HP,53.82164,-1.85976
BD15 0HQ,53.82626,-1.86583
BD15 0HR,53.82103,-1.85929
BD15 0HS,53.82133,-1.86103
BD15 0HT,53.82198,-1.86188
BD15 0HU,53.82074,-1.86272
BD15 0HW,53.82158,-1.86164
BD15 0HX,53.82051,-1.85968
BD15 0HY,53.82072,-1.86046
BD15 0JA,53.82015,-1.86096
BD15 0JB,53.82000,-1.86028
BD15 0JD,53.81981,-1.86011
BD15 0JE,53.81987,-1.85979
BD15 0JF,53.81684,-1.85610
BD15 0JG,53.81872,-1.85994
BD15 0JH,53.81926,-1.85932
