Postcode,Lat,Lon
BD16 1AA,53.84579,-1.83595
BD16 1AB,53.84483,-1.83442
BD16 1AD,53.84507,-1.83407
BD16 1AE,53.84514,-1.83361
BD16 1AF,53.83899,-1.87065
BD16 1AG,53.84524,-1.83462
BD16 1AH,53.84579,-1.83449
BD16 1AJ,53.84728,-1.83707
BD16 1AL,53.82989,-1.83194
BD16 1AN,53.84707,-1.83622
BD16 1AP,53.84898,-1.84197
BD16 1AQ,53.82991,-1.83148
BD16 1AR,53.84261,-1.84461
BD16 1AS,53.84733,-1.85139
BD16 1AT,53.84736,-1.86073
BD16 1AU,53.84745,-1.85788
BD16 1AW,53.84718,-1.83681
BD16 1AX,53.84059,-1.85503
BD16 1AY,53.84131,-1.84968
BD16 1AZ,53.84302,-1.86048
BD16 1BA,53.84363,-1.86028
BD16 1BB,53.84317,-1.86140
BD16 1BD,53.84499,-1.86284
BD16 1BE,53.84054,-1.86155
BD16 1BG,53.83490,-1.86634
BD16 1BH,53.83336,-1.86718
BD16 1BJ,53.83523,-1.86696
BD16 1BL,53.83481,-1.86789
BD16 1BN,53.83593,-1.87430
BD16 1BP,53.84462,-1.87655
BD16 1BQ,53.83337,-1.86678
BD16 1BS,53.84264,-1.87715
BD16 1BT,53.84004,-1.87295
BD16 1BU,53.84008,-1.87357
BD16 1BW,53.84387,-1.86973
BD16 1BX,53.83931,-1.87436
BD16 1BY,53.83956,-1.87685
BD16 1BZ,53.83930,-1.87535
BD16 1DA,53.83980,-1.87754
BD16 1DB,53.83889,-1.87763
BD16 1DD,53.83901,-1.87839
BD16 1DE,53.83837,-1.88102
BD16 1DF,53.83279,-1.87862
BD16 1DG,53.84119,-1.88086
BD16 1DH,53.83960,-1.88582
BD16 1DJ,53.84017,-1.87643
BD16 1DL,53.84459,-1.83247
BD16 1DN,53.83909,-1.87687
BD16 1DP,53.84456,-1.83407
BD16 1DQ,53.83848,-1.88338
BD16 1DR,53.84412,-1.83415
BD16 1DS,53.84401,-1.83321
BD16 1DT,53.84286,-1.83238
BD16 1DU,53.84290,-1.83187
BD16 1DW,53.84000,-1.89207
BD16 1DX,53.84383,-1.83185
BD16 1DY,53.84375,-1.83258
BD16 1DZ,53.84333,-1.83135
BD16 1EA,53.84245,-1.83064
BD16 1EB,53.84183,-1.83036
BD16 1ED,53.84929,-1.83937
BD16 1EE,53.84099,-1.82781
BD16 1EF,53.84176,-1.83423
BD16 1EG,53.84250,-1.83285
BD16 1EH,53.84426,-1.83485
BD16 1EJ,53.84451,-1.83517
BD16 1EL,53.84470,-1.83563
BD16 1EN,53.84432,-1.83532
BD16 1EP,53.84358,-1.83448
BD16 1EQ,53.84367,-1.83421
BD16 1ER,53.84332,-1.83561
BD16 1ES,53.84296,-1.83503
BD16 1ET,53.84258,-1.83425
BD16 1EU,53.84244,-1.83479
BD16 1EW,53.84350,-1.83568
BD16 1EX,53.84292,-1.83666
BD16 1EY,53.84371,-1.83695
BD16 1EZ,53.84413,-1.83590
BD16 1FA,53.84455,-1.86401
BD16 1FE,53.83137,-1.83254
BD16 1FF,53.83198,-1.87992
BD16 1FG,53.83214,-1.82949
BD16 1FH,53.83357,-1.86527
BD16 1FJ,53.84134,-1.87302
BD16 1FL,53.84216,-1.86896
BD16 1FN,53.84265,-1.87048
BD16 1FP,53.84218,-1.86995
BD16 1GH,53.84751,-1.83687
BD16 1GL,53.84725,-1.83660
BD16 1HA,53.84391,-1.83640
BD16 1HB,53.84437,-1.83649
BD16 1HD,53.84500,-1.83729
BD16 1HE,53.84929,-1.83937
BD16 1HF,53.84432,-1.83868
BD16 1HG,53.84929,-1.83937
BD16 1HH,53.84515,-1.83747
BD16 1HJ,53.84587,-1.84024
BD16 1HL,53.84507,-1.83562
BD16 1HN,53.83778,-1.86821
BD16 1HP,53.84099,-1.87246
BD16 1HQ,53.84555,-1.83603
BD16 1HR,53.84385,-1.83833
BD16 1HS,53.84140,-1.87015
BD16 1HT,53.84186,-1.86812
BD16 1HU,53.84134,-1.86597
BD16 1HW,53.84595,-1.83590
BD16 1HX,53.83952,-1.86684
BD16 1HY,53.83917,-1.86505
BD16 1HZ,53.84039,-1.86837
BD16 1JA,53.83986,-1.86924
BD16 1JB,53.83943,-1.86766
BD16 1JD,53.83882,-1.86874
BD16 1JE,53.83824,-1.86794
BD16 1JF,53.83777,-1.86719
BD16 1JG,53.83854,-1.86596
BD16 1JH,53.83545,-1.86833
BD16 1JJ,53.83619,-1.86787
BD16 1JL,53.83847,-1.86950
BD16 1JN,53.83978,-1.87065
BD16 1JP,53.84085,-1.87038
BD16 1JQ,53.83687,-1.86753
BD16 1JR,53.84087,-1.87021
BD16 1JS,53.84135,-1.86987
