Postcode,Lat,Lon
BD2 1AA,53.80963,-1.75743
BD2 1AB,53.81011,-1.75663
BD2 1AD,53.82094,-1.75867
BD2 1AE,53.80949,-1.75773
BD2 1AF,53.80938,-1.75804
BD2 1AG,53.82400,-1.76970
BD2 1AH,53.81643,-1.75543
BD2 1AJ,53.82201,-1.76949
BD2 1AL,53.81162,-1.75945
BD2 1AN,53.81070,-1.75852
BD2 1AP,53.81148,-1.75830
BD2 1AQ,53.81208,-1.75734
BD2 1AR,53.81280,-1.75954
BD2 1AS,53.81857,-1.76239
BD2 1AT,53.81390,-1.76266
BD2 1AU,53.82266,-1.76925
BD2 1AW,53.82201,-1.76949
BD2 1AX,53.81375,-1.76304
BD2 1AY,53.80745,-1.75700
BD2 1AZ,53.81373,-1.76266
BD2 1BA,53.81886,-1.76371
BD2 1BB,53.81943,-1.76308
BD2 1BD,53.81973,-1.76208
BD2 1BE,53.82030,-1.76122
BD2 1BG,53.82098,-1.76058
BD2 1BH,53.82220,-1.75828
BD2 1BJ,53.82128,-1.75906
BD2 1BL,53.82047,-1.75961
BD2 1BN,53.82012,-1.75837
BD2 1BP,53.81981,-1.75849
BD2 1BQ,53.82176,-1.75874
BD2 1BS,53.81953,-1.75939
BD2 1BT,53.81984,-1.76038
BD2 1BU,53.81908,-1.75989
BD2 1BW,53.82047,-1.75823
BD2 1BX,53.82003,-1.75845
BD2 1BY,53.81837,-1.76121
BD2 1BZ,53.81824,-1.76149
BD2 1DA,53.81898,-1.76075
BD2 1DB,53.81940,-1.76065
BD2 1DD,53.81936,-1.76108
BD2 1DE,53.81896,-1.76119
BD2 1DF,53.81824,-1.76078
BD2 1DG,53.81837,-1.76169
BD2 1DH,53.81927,-1.76225
BD2 1DJ,53.81912,-1.76248
BD2 1DL,53.81834,-1.76272
BD2 1DN,53.81872,-1.76368
BD2 1DP,53.81145,-1.75632
BD2 1DQ,53.81953,-1.76102
BD2 1DR,53.81079,-1.75542
BD2 1DS,53.81049,-1.75319
BD2 1DT,53.81091,-1.75361
BD2 1DU,53.81582,-1.75712
BD2 1DW,53.81531,-1.75759
BD2 1DX,53.81140,-1.75333
BD2 1DY,53.81164,-1.75500
BD2 1DZ,53.81542,-1.75680
BD2 1EA,53.81325,-1.75489
BD2 1EB,53.81331,-1.75595
BD2 1ED,53.81350,-1.75522
BD2 1EE,53.81375,-1.75251
BD2 1EF,53.81440,-1.75092
BD2 1EG,53.81356,-1.75097
BD2 1EH,53.81559,-1.75083
BD2 1EJ,53.81466,-1.74980
BD2 1EL,53.81522,-1.74968
BD2 1EN,53.81495,-1.74921
BD2 1EP,53.81493,-1.74708
BD2 1ER,53.81550,-1.74754
BD2 1ES,53.81578,-1.74907
BD2 1ET,53.81750,-1.74711
BD2 1EU,53.81607,-1.74764
BD2 1EW,53.81417,-1.74733
BD2 1EX,53.81473,-1.74782
BD2 1EY,53.80818,-1.75309
BD2 1EZ,53.81649,-1.74633
BD2 1FA,53.80544,-1.75290
BD2 1FJ,53.81917,-1.76072
BD2 1FL,53.81909,-1.76111
BD2 1FQ,53.81623,-1.75865
BD2 1FT,53.81628,-1.76368
BD2 1GQ,53.82076,-1.75891
BD2 1HA,53.81683,-1.74607
