Postcode,Lat,Lon
BD4 0AA,53.77452,-1.70953
BD4 0AB,53.77459,-1.70832
BD4 0AD,53.77445,-1.70694
BD4 0AE,53.77544,-1.70612
BD4 0AF,53.77524,-1.70503
BD4 0AG,53.77620,-1.70240
BD4 0AH,53.77602,-1.70538
BD4 0AJ,53.77587,-1.70559
BD4 0AL,53.77587,-1.70559
BD4 0AN,53.77587,-1.70559
BD4 0AP,53.78202,-1.70867
BD4 0AQ,53.77563,-1.70635
BD4 0AR,53.77587,-1.70407
BD4 0AS,53.76871,-1.71474
BD4 0AT,53.77681,-1.70202
BD4 0AU,53.77587,-1.70407
BD4 0AW,53.77587,-1.70559
BD4 0AX,53.78247,-1.70935
BD4 0AY,53.78221,-1.70969
BD4 0AZ,53.77650,-1.70433
BD4 0BA,53.77021,-1.66854
BD4 0BB,53.77626,-1.70700
BD4 0BD,53.77594,-1.70779
BD4 0BE,53.77595,-1.70717
BD4 0BG,53.77548,-1.70741
BD4 0BH,53.77523,-1.70915
BD4 0BJ,53.77762,-1.70975
BD4 0BL,53.77718,-1.70928
BD4 0BQ,53.77513,-1.70789
BD4 0BS,53.77723,-1.70874
BD4 0BT,53.77706,-1.70818
BD4 0BU,53.77723,-1.70778
BD4 0BX,53.77709,-1.70736
BD4 0BY,53.77738,-1.70719
BD4 0BZ,53.77776,-1.70659
BD4 0DA,53.77750,-1.70525
BD4 0DB,53.77801,-1.70495
BD4 0DE,53.77878,-1.70469
BD4 0DF,53.77935,-1.70523
BD4 0DG,53.77857,-1.70709
BD4 0DH,53.77857,-1.70709
BD4 0DJ,53.77845,-1.70724
BD4 0DL,53.77769,-1.70782
BD4 0DN,53.77804,-1.70917
BD4 0DP,53.77838,-1.70812
BD4 0DQ,53.77857,-1.70709
BD4 0DR,53.77879,-1.70891
BD4 0DS,53.77866,-1.70997
BD4 0DW,53.77783,-1.70844
BD4 0DX,53.78201,-1.70784
BD4 0DY,53.78134,-1.70783
BD4 0DZ,53.78073,-1.70865
BD4 0EA,53.78037,-1.70869
BD4 0EB,53.78072,-1.70732
BD4 0ED,53.78138,-1.70731
BD4 0EE,53.78195,-1.70673
BD4 0EF,53.78210,-1.70732
BD4 0EG,53.78242,-1.70697
BD4 0EH,53.78232,-1.70586
BD4 0EJ,53.78225,-1.70583
BD4 0EL,53.78245,-1.70627
BD4 0EN,53.78260,-1.70670
BD4 0EP,53.78273,-1.70773
BD4 0EQ,53.78188,-1.70572
BD4 0ER,53.78278,-1.70776
BD4 0ES,53.78232,-1.70869
BD4 0ET,53.78218,-1.71010
BD4 0EU,53.78218,-1.71010
BD4 0EW,53.78273,-1.70723
BD4 0EX,53.78218,-1.71010
BD4 0EY,53.78218,-1.71010
BD4 0EZ,53.78211,-1.70931
BD4 0FL,53.76764,-1.70515
BD4 0HA,53.78230,-1.71027
BD4 0HB,53.78266,-1.71105
BD4 0HG,53.77344,-1.70256
BD4 0HH,53.77329,-1.70939
BD4 0HJ,53.77345,-1.70872
BD4 0HL,53.77257,-1.70888
BD4 0HN,53.77288,-1.70866
BD4 0HP,53.77264,-1.70781
BD4 0HQ,53.77423,-1.70398
BD4 0HR,53.77274,-1.70701
BD4 0HS,53.77233,-1.70733
BD4 0HT,53.77236,-1.70839
BD4 0HU,53.77207,-1.70873
BD4 0HW,53.77229,-1.70865
BD4 0HX,53.77173,-1.70853
BD4 0HY,53.77112,-1.70846
BD4 0HZ,53.77078,-1.70825
BD4 0JA,53.77067,-1.70862
BD4 0JB,53.77027,-1.70854
BD4 0JD,53.76959,-1.71019
BD4 0JE,53.76979,-1.70973
BD4 0JF,53.76977,-1.70771
BD4 0JG,53.77002,-1.70968
BD4 0JH,53.76936,-1.70602
BD4 0JJ,53.76950,-1.70541
BD4 0JL,53.76923,-1.70457
BD4 0JN,53.76946,-1.70477
BD4 0JP,53.76983,-1.70536
BD4 0JQ,53.77024,-1.70788
BD4 0JR,53.76959,-1.70715
BD4 0JS,53.77029,-1.70608
BD4 0JT,53.77059,-1.70625
BD4 0JU,53.77043,-1.70677
BD4 0JW,53.76969,-1.70498
BD4 0JX,53.77065,-1.70768
BD4 0JY,53.77094,-1.70682
BD4 0JZ,53.77049,-1.70715
BD4 0LA,53.77121,-1.70710
BD4 0LB,53.77136,-1.70658
BD4 0LD,53.77176,-1.70617
BD4 0LE,53.77138,-1.70714
BD4 0LF,53.77164,-1.70670
BD4 0LG,53.77160,-1.70714
BD4 0LH,53.77203,-1.70635
BD4 0LJ,53.77269,-1.70586
BD4 0LL,53.77324,-1.70603
BD4 0LN,53.77347,-1.70564
BD4 0LP,53.77112,-1.70159
BD4 0LQ,53.77179,-1.70700
BD4 0LR,53.77212,-1.69925
BD4 0LS,53.77388,-1.70485
BD4 0LT,53.77433,-1.70548
BD4 0LU,53.77442,-1.70501
BD4 0LW,53.77162,-1.70230
BD4 0LX,53.77446,-1.70464
BD4 0LY,53.77408,-1.70560
BD4 0LZ,53.77408,-1.70560
BD4 0NA,53.77317,-1.70409
BD4 0NB,53.77376,-1.70354
BD4 0ND,53.77305,-1.70365
BD4 0NE,53.77216,-1.70301
BD4 0NF,53.77243,-1.70201
BD4 0NG,53.77216,-1.70301
BD4 0NH,53.77227,-1.70258
BD4 0NJ,53.77308,-1.70300
BD4 0NL,53.77317,-1.70409
BD4 0NN,53.77326,-1.70210
BD4 0NP,53.77316,-1.70156
BD4 0NQ,53.77285,-1.70112
BD4 0NR,53.77366,-1.70128
BD4 0NS,53.77415,-1.70204
BD4 0NT,53.77409,-1.70234
BD4 0NU,53.77385,-1.70210
BD4 0NW,53.77293,-1.70182
BD4 0NX,53.77360,-1.70168
BD4 0NY,53.77176,-1.70474
BD4 0NZ,53.77317,-1.70257
BD4 0PA,53.77382,-1.70266
BD4 0PB,53.77427,-1.70302
BD4 0PD,53.77491,-1.70193
BD4 0PE,53.77418,-1.70612
BD4 0PF,53.77360,-1.70592
BD4 0PG,53.77307,-1.70766
BD4 0PH,53.77318,-1.70864
BD4 0PJ,53.77430,-1.70903
BD4 0PL,53.77432,-1.70768
BD4 0PN,53.77490,-1.70299
BD4 0PP,53.76861,-1.70969
BD4 0PQ,53.77368,-1.70750
BD4 0PR,53.76819,-1.70922
BD4 0PS,53.76823,-1.70816
BD4 0PT,53.76850,-1.70710
BD4 0PU,53.76847,-1.70669
BD4 0PW,53.77582,-1.70382
BD4 0PX,53.76964,-1.70143
BD4 0PY,53.76838,-1.70593
BD4 0PZ,53.76838,-1.70595
BD4 0QA,53.76782,-1.70862
BD4 0QB,53.76708,-1.70388
BD4 0QD,53.76952,-1.70322
BD4 0QE,53.76926,-1.70758
BD4 0QF,53.77388,-1.69952
BD4 0QG,53.76886,-1.70931
BD4 0QH,53.76554,-1.70151
BD4 0QJ,53.76700,-1.70147
BD4 0QL,53.76575,-1.70229
BD4 0QN,53.76842,-1.70278
BD4 0QP,53.76938,-1.70115
BD4 0QQ,53.77444,-1.70073
BD4 0QR,53.76889,-1.70028
BD4 0QS,53.76838,-1.70100
BD4 0QT,53.76880,-1.70678
BD4 0QU,53.77452,-1.70026
BD4 0QW,53.77325,-1.69955
BD4 0QX,53.77549,-1.70062
BD4 0QY,53.77504,-1.69966
BD4 0QZ,53.77454,-1.70159
BD4 0RA,53.78306,-1.70554
BD4 0RB,53.78293,-1.70536
BD4 0RD,53.78312,-1.70469
BD4 0RG,53.78049,-1.70134
BD4 0RH,53.77597,-1.69986
BD4 0RJ,53.77118,-1.69705
BD4 0RL,53.77294,-1.69669
BD4 0RN,53.77671,-1.68223
BD4 0RP,53.77090,-1.66626
BD4 0RQ,53.77737,-1.70198
BD4 0RR,53.77069,-1.66850
BD4 0RS,53.77362,-1.66493
BD4 0RT,53.77255,-1.66290
BD4 0RU,53.77850,-1.64437
BD4 0RW,53.77183,-1.68255
BD4 0RX,53.77422,-1.65734
BD4 0RY,53.76222,-1.67659
BD4 0SA,53.76118,-1.68476
BD4 0SB,53.76146,-1.68389
BD4 0SD,53.77136,-1.66414
BD4 0SE,53.75965,-1.68599
BD4 0SF,53.76188,-1.68457
BD4 0SG,53.76100,-1.68667
BD4 0SJ,53.76149,-1.69295
BD4 0SL,53.76203,-1.69305
BD4 0SN,53.76248,-1.69513
BD4 0SP,53.76233,-1.69622
BD4 0SQ,53.76237,-1.68915
BD4 0SR,53.76253,-1.69581
BD4 0SS,53.77138,-1.66740
BD4 0ST,53.77249,-1.66384
BD4 0SU,53.78188,-1.75624
BD4 0SW,53.76109,-1.69270
BD4 0SX,53.76055,-1.68750
BD4 0SY,53.77146,-1.69633
BD4 0SZ,53.77338,-1.70327
BD4 0TE,53.77195,-1.69956
BD4 0TF,53.77177,-1.70134
BD4 0TG,53.77184,-1.70096
BD4 0TJ,53.78025,-1.70523
BD4 0TL,53.77936,-1.70683
BD4 0TN,53.77903,-1.70628
BD4 0TP,53.77854,-1.70600
BD4 0TQ,53.77255,-1.70044
BD4 0TR,53.76960,-1.69950
BD4 0TS,53.77077,-1.69775
BD4 0TT,53.77021,-1.69745
BD4 0TU,53.76869,-1.69795
BD4 0TW,53.77851,-1.70548
BD4 0TX,53.76825,-1.69923
BD4 0TY,53.76951,-1.69810
BD4 0TZ,53.76977,-1.69803
BD4 0WA,53.78188,-1.75624
