Postcode,Lat,Lon
BD13 1AA,53.77025,-1.84236
BD13 1AB,53.76871,-1.84240
BD13 1AD,53.76848,-1.84312
BD13 1AE,53.76958,-1.84212
BD13 1AF,53.76903,-1.84150
BD13 1AG,53.76966,-1.84181
BD13 1AH,53.76931,-1.84098
BD13 1AJ,53.76977,-1.84151
BD13 1AL,53.76995,-1.84127
BD13 1AN,53.76919,-1.84086
BD13 1AP,53.76879,-1.84088
BD13 1AQ,53.76967,-1.84177
BD13 1AR,53.76876,-1.84086
BD13 1AS,53.76494,-1.83777
BD13 1AT,53.76856,-1.84071
BD13 1AU,53.76826,-1.84024
BD13 1AW,53.76905,-1.84078
BD13 1AX,53.76818,-1.84048
BD13 1AY,53.76932,-1.84022
BD13 1AZ,53.76894,-1.83954
BD13 1BA,53.76984,-1.84066
BD13 1BB,53.76996,-1.84010
BD13 1BD,53.76977,-1.83697
BD13 1BE,53.76804,-1.84067
BD13 1BG,53.76970,-1.83954
BD13 1BH,53.76956,-1.83873
BD13 1BJ,53.76947,-1.83831
BD13 1BL,53.76947,-1.83790
BD13 1BN,53.76984,-1.83696
BD13 1BP,53.76979,-1.83663
BD13 1BQ,53.76955,-1.83910
BD13 1BS,53.76999,-1.83603
BD13 1BT,53.77021,-1.83561
BD13 1BU,53.76945,-1.83365
BD13 1BW,53.76985,-1.83693
BD13 1BX,53.76931,-1.83500
BD13 1BY,53.76989,-1.83198
BD13 1BZ,53.77009,-1.83136
BD13 1DA,53.76915,-1.83188
BD13 1DB,53.76866,-1.83018
BD13 1DD,53.76825,-1.83076
BD13 1DE,53.76752,-1.83254
BD13 1DF,53.76919,-1.83337
BD13 1DG,53.76914,-1.83462
BD13 1DH,53.76564,-1.83643
BD13 1DJ,53.77014,-1.82858
BD13 1DL,53.76993,-1.82763
BD13 1DN,53.76962,-1.82727
BD13 1DP,53.77084,-1.82754
BD13 1DQ,53.76582,-1.83695
BD13 1DR,53.77116,-1.82547
BD13 1DS,53.77137,-1.82670
BD13 1DT,53.77069,-1.82608
BD13 1DU,53.77052,-1.82588
BD13 1DW,53.76983,-1.82643
BD13 1DX,53.77020,-1.82591
BD13 1DY,53.77064,-1.82608
BD13 1DZ,53.76982,-1.82701
BD13 1EA,53.77067,-1.82521
BD13 1EB,53.77088,-1.82481
BD13 1ED,53.77079,-1.82427
BD13 1EE,53.77039,-1.82474
BD13 1EF,53.76979,-1.82497
BD13 1EG,53.77114,-1.82369
BD13 1EH,53.77123,-1.82450
