Postcode,Lat,Lon
BD12 0AA,53.75672,-1.76674
BD12 0AB,53.75640,-1.76697
BD12 0AD,53.75587,-1.76763
BD12 0AE,53.75534,-1.76792
BD12 0AF,53.75668,-1.76788
BD12 0AG,53.75686,-1.76850
BD12 0AH,53.75644,-1.77179
BD12 0AJ,53.75433,-1.77199
BD12 0AL,53.75141,-1.75410
BD12 0AN,53.75738,-1.76677
BD12 0AP,53.75630,-1.77032
BD12 0AS,53.75571,-1.77061
BD12 0AT,53.75569,-1.76992
BD12 0AY,53.75534,-1.76792
BD12 0AZ,53.75669,-1.76752
BD12 0BD,53.75594,-1.77054
BD12 0BE,53.75708,-1.77018
BD12 0DA,53.75736,-1.76986
BD12 0DB,53.75746,-1.77187
BD12 0DD,53.75698,-1.76952
BD12 0DF,53.75834,-1.77225
BD12 0DH,53.75826,-1.77116
BD12 0DJ,53.75922,-1.77322
BD12 0DL,53.75642,-1.77201
BD12 0DN,53.75667,-1.77200
BD12 0DS,53.75695,-1.77203
BD12 0DW,53.75670,-1.77175
BD12 0DX,53.75602,-1.77166
BD12 0EA,53.75459,-1.77769
BD12 0EB,53.75356,-1.77835
BD12 0ED,53.75347,-1.77763
BD12 0EG,53.75538,-1.77037
BD12 0EH,53.75529,-1.77142
BD12 0EJ,53.75083,-1.78376
BD12 0EL,53.75521,-1.77534
BD12 0EN,53.75532,-1.77646
BD12 0EP,53.75486,-1.77722
BD12 0EQ,53.75590,-1.76872
BD12 0ER,53.75572,-1.77718
BD12 0ES,53.75620,-1.77712
BD12 0ET,53.75630,-1.77727
BD12 0EU,53.75646,-1.77686
BD12 0EW,53.75557,-1.77626
BD12 0EX,53.75602,-1.77806
BD12 0EY,53.75667,-1.77751
BD12 0EZ,53.75600,-1.77757
BD12 0GA,53.75482,-1.76076
BD12 0GS,53.75626,-1.77853
BD12 0HA,53.75557,-1.77747
BD12 0HB,53.75546,-1.75557
BD12 0HD,53.75723,-1.76146
BD12 0HE,53.75781,-1.76064
BD12 0HF,53.75734,-1.76069
BD12 0HG,53.75601,-1.75675
BD12 0HH,53.76090,-1.75909
BD12 0HJ,53.76088,-1.75839
BD12 0HL,53.75891,-1.75938
BD12 0HN,53.75753,-1.75991
BD12 0HP,53.75703,-1.75937
BD12 0HQ,53.76050,-1.75972
BD12 0HR,53.75680,-1.75992
BD12 0HS,53.75470,-1.75940
BD12 0HT,53.75368,-1.75840
BD12 0HU,53.75378,-1.75802
BD12 0HW,53.75551,-1.75686
BD12 0HX,53.75409,-1.75752
BD12 0HY,53.75427,-1.75722
BD12 0HZ,53.75440,-1.75430
BD12 0JA,53.75414,-1.75673
BD12 0JB,53.75391,-1.75652
BD12 0JD,53.75373,-1.75685
BD12 0JE,53.75312,-1.75792
BD12 0JF,53.75470,-1.75653
BD12 0JG,53.75460,-1.75489
BD12 0JH,53.75259,-1.75666
BD12 0JJ,53.75262,-1.75883
BD12 0JL,53.75228,-1.75680
BD12 0JN,53.75317,-1.75564
BD12 0JP,53.75395,-1.75262
BD12 0JQ,53.75375,-1.75598
BD12 0JR,53.75440,-1.75282
BD12 0JS,53.75310,-1.75440
BD12 0JT,53.75305,-1.75270
BD12 0JU,53.75269,-1.75292
BD12 0JW,53.75556,-1.75515
BD12 0JX,53.75219,-1.75462
BD12 0JY,53.75176,-1.75540
BD12 0JZ,53.75143,-1.75599
BD12 0LA,53.75085,-1.75476
BD12 0LB,53.75060,-1.75420
BD12 0LD,53.75082,-1.75429
BD12 0LE,53.75087,-1.75437
BD12 0LG,53.75162,-1.75436
BD12 0LH,53.75069,-1.75294
BD12 0LJ,53.75116,-1.75365
BD12 0LL,53.75156,-1.75382
BD12 0LN,53.75171,-1.75382
BD12 0LP,53.74972,-1.75743
BD12 0LQ,53.75100,-1.75407
BD12 0LS,53.75110,-1.75273
BD12 0LT,53.75218,-1.75101
BD12 0LU,53.74973,-1.75688
BD12 0LX,53.75121,-1.75141
BD12 0LY,53.74992,-1.75430
BD12 0LZ,53.74996,-1.75478
BD12 0NA,53.74903,-1.75885
BD12 0NB,53.75390,-1.76761
BD12 0ND,53.75391,-1.76761
BD12 0NE,53.75630,-1.75546
BD12 0NF,53.75206,-1.76439
BD12 0NG,53.75291,-1.76438
BD12 0NH,53.75800,-1.75842
BD12 0NJ,53.75778,-1.75803
BD12 0NL,53.75755,-1.75788
BD12 0NN,53.75666,-1.75749
BD12 0NP,53.75668,-1.75702
BD12 0NQ,53.75326,-1.76226
BD12 0NR,53.75769,-1.75739
BD12 0NS,53.75937,-1.75875
BD12 0NT,53.75889,-1.75862
BD12 0NU,53.76058,-1.75896
BD12 0NW,53.75172,-1.75732
BD12 0NX,53.75937,-1.75803
BD12 0NY,53.75550,-1.76030
BD12 0NZ,53.75389,-1.75746
BD12 0PA,53.75990,-1.75667
BD12 0PB,53.75965,-1.75725
BD12 0PD,53.76062,-1.75779
BD12 0PE,53.76066,-1.75621
BD12 0PH,53.75916,-1.75610
BD12 0PJ,53.75838,-1.75707
BD12 0PL,53.75852,-1.75546
BD12 0PN,53.75810,-1.75415
BD12 0PP,53.75942,-1.75494
BD12 0PQ,53.76164,-1.75834
BD12 0PR,53.75882,-1.75503
BD12 0PS,53.75944,-1.75544
BD12 0PT,53.75897,-1.75365
BD12 0PU,53.75750,-1.75650
BD12 0PW,53.75891,-1.75425
BD12 0PX,53.75708,-1.75599
BD12 0PY,53.75744,-1.75588
BD12 0PZ,53.75621,-1.75426
BD12 0QA,53.75547,-1.76164
BD12 0QB,53.75704,-1.75277
BD12 0QD,53.75765,-1.75289
BD12 0QE,53.74971,-1.76475
BD12 0QF,53.75468,-1.76137
BD12 0QH,53.75418,-1.76160
BD12 0QJ,53.75283,-1.76282
BD12 0QL,53.75378,-1.76301
BD12 0QN,53.75284,-1.76670
BD12 0QP,53.75061,-1.76309
BD12 0QQ,53.75516,-1.76382
BD12 0QR,53.75074,-1.76401
BD12 0QS,53.75048,-1.76500
BD12 0QT,53.74903,-1.76624
BD12 0QU,53.74808,-1.76729
BD12 0QW,53.75334,-1.75935
BD12 0QX,53.74725,-1.76645
BD12 0QY,53.74899,-1.76518
BD12 0QZ,53.74867,-1.76610
BD12 0RA,53.74970,-1.76376
BD12 0RE,53.74903,-1.76037
BD12 0RG,53.74826,-1.75663
BD12 0RL,53.75084,-1.76642
BD12 0RN,53.75084,-1.76642
BD12 0RP,53.75102,-1.76459
BD12 0RQ,53.74989,-1.75895
BD12 0RR,53.75109,-1.76538
BD12 0RS,53.75091,-1.76507
BD12 0RT,53.75137,-1.76612
BD12 0RU,53.75242,-1.76748
BD12 0RW,53.74889,-1.76354
BD12 0RX,53.78188,-1.75624
BD12 0RY,53.74796,-1.76392
BD12 0RZ,53.74904,-1.76340
BD12 0SA,53.75503,-1.76739
BD12 0SB,53.75444,-1.76792
BD12 0SD,53.75535,-1.76503
BD12 0SE,53.75516,-1.76382
BD12 0SF,53.75354,-1.76944
BD12 0SG,53.75538,-1.76542
BD12 0SH,53.75444,-1.76641
BD12 0SL,53.75411,-1.76565
BD12 0SN,53.75617,-1.76452
BD12 0SR,53.75444,-1.76641
BD12 0ST,53.75570,-1.76383
BD12 0SU,53.75600,-1.76412
BD12 0SW,53.75430,-1.76542
BD12 0SX,53.75654,-1.76445
BD12 0SY,53.75693,-1.76389
BD12 0TA,53.75650,-1.76312
BD12 0TB,53.75706,-1.76236
BD12 0TD,53.75802,-1.76294
BD12 0TE,53.75714,-1.76365
BD12 0TF,53.74904,-1.76492
BD12 0TG,53.75353,-1.76489
BD12 0TH,53.75385,-1.76990
BD12 0TJ,53.75458,-1.76832
BD12 0TL,53.75506,-1.77039
BD12 0TN,53.75478,-1.77112
BD12 0TP,53.75502,-1.77215
BD12 0TQ,53.75662,-1.76563
BD12 0TR,53.75464,-1.77417
BD12 0TS,53.75444,-1.77555
BD12 0TT,53.75359,-1.77226
BD12 0TU,53.75296,-1.77027
BD12 0TW,53.75670,-1.76119
BD12 0TX,53.75198,-1.77074
BD12 0TY,53.75223,-1.77132
BD12 0TZ,53.75219,-1.76807
BD12 0UA,53.75155,-1.77138
BD12 0UB,53.75236,-1.76947
BD12 0UD,53.75231,-1.76836
BD12 0UE,53.75188,-1.76833
BD12 0UF,53.75516,-1.76382
BD12 0UG,53.75085,-1.76946
BD12 0UH,53.75012,-1.76749
BD12 0UJ,53.75074,-1.76603
BD12 0UL,53.75066,-1.76741
BD12 0UN,53.74847,-1.76835
BD12 0UP,53.74832,-1.76971
BD12 0UQ,53.75153,-1.76860
