Postcode,Lat,Lon
BD21 1AA,53.86508,-1.91072
BD21 1AB,53.85564,-1.91559
BD21 1AD,53.86352,-1.91127
BD21 1AE,53.86232,-1.91120
BD21 1AF,53.86116,-1.91102
BD21 1AG,53.85953,-1.91030
BD21 1AH,53.85514,-1.91514
BD21 1AJ,53.86491,-1.91260
BD21 1AL,53.85800,-1.91634
BD21 1AN,53.85786,-1.91539
BD21 1AP,53.85782,-1.91616
BD21 1AQ,53.85771,-1.91245
BD21 1AR,53.85737,-1.91565
BD21 1AS,53.85678,-1.91648
BD21 1AT,53.85719,-1.91694
BD21 1AU,53.85680,-1.91531
BD21 1AW,53.85889,-1.91546
BD21 1AX,53.85666,-1.91454
BD21 1AY,53.85643,-1.91609
BD21 1AZ,53.85626,-1.91548
BD21 1BA,53.85709,-1.91331
BD21 1BB,53.85646,-1.91464
BD21 1BD,53.85597,-1.91658
BD21 1BG,53.85630,-1.91776
BD21 1BH,53.85561,-1.91712
BD21 1BJ,53.85528,-1.91760
BD21 1BL,53.85494,-1.91816
BD21 1BN,53.85568,-1.91795
BD21 1BP,53.85493,-1.91898
BD21 1BQ,53.85578,-1.91706
BD21 1BS,53.85489,-1.91848
BD21 1BT,53.85471,-1.91808
BD21 1BU,53.85443,-1.91802
BD21 1BW,53.85575,-1.91919
BD21 1BX,53.85428,-1.91781
BD21 1BY,53.85426,-1.91786
BD21 1BZ,53.85563,-1.91556
BD21 1DA,53.85623,-1.91502
BD21 1DB,53.85645,-1.91310
BD21 1DD,53.86238,-1.91191
BD21 1DE,53.86249,-1.91329
BD21 1DF,53.86210,-1.91298
BD21 1DG,53.86189,-1.91240
BD21 1DH,53.86069,-1.91330
BD21 1DJ,53.86181,-1.91292
BD21 1DL,53.85984,-1.91253
BD21 1DN,53.86086,-1.91319
BD21 1DP,53.86076,-1.91261
BD21 1DQ,53.86171,-1.91196
BD21 1DR,53.86073,-1.91347
BD21 1DS,53.86036,-1.91443
BD21 1DT,53.86028,-1.91362
BD21 1DZ,53.85967,-1.91319
BD21 1EA,53.85994,-1.91312
BD21 1EB,53.85981,-1.91251
BD21 1ED,53.85988,-1.91195
BD21 1EE,53.86046,-1.91177
BD21 1EF,53.86056,-1.91189
BD21 1EG,53.86098,-1.91213
BD21 1EH,53.85976,-1.91145
BD21 1EJ,53.85948,-1.91142
BD21 1EL,53.85924,-1.91135
BD21 1EN,53.85913,-1.91125
BD21 1EP,53.85933,-1.91210
BD21 1EQ,53.86075,-1.91149
BD21 1ER,53.85933,-1.91259
BD21 1ES,53.85932,-1.91271
BD21 1ET,53.85866,-1.91382
BD21 1EU,53.85896,-1.91336
BD21 1EW,53.85921,-1.91180
BD21 1EX,53.85941,-1.91359
BD21 1EY,53.85928,-1.91455
BD21 1EZ,53.85925,-1.91389
BD21 1HA,53.85968,-1.91470
BD21 1HB,53.85972,-1.91400
BD21 1HD,53.85993,-1.91372
BD21 1HE,53.85986,-1.91433
BD21 1HF,53.85952,-1.91581
BD21 1HG,53.86026,-1.91468
BD21 1HH,53.85979,-1.91634
BD21 1HJ,53.86033,-1.91525
BD21 1HL,53.86017,-1.91556
BD21 1HN,53.86076,-1.91664
BD21 1HP,53.85943,-1.91774
BD21 1HQ,53.86075,-1.91473
BD21 1HR,53.86073,-1.91599
BD21 1HS,53.86075,-1.91559
BD21 1HT,53.86087,-1.91459
BD21 1HU,53.86097,-1.91447
BD21 1HW,53.85979,-1.91786
BD21 1HY,53.86098,-1.91398
BD21 1HZ,53.86137,-1.91432
BD21 1JA,53.86130,-1.91492
BD21 1JB,53.86110,-1.91594
BD21 1JD,53.86095,-1.91611
BD21 1JE,53.86126,-1.91657
BD21 1JF,53.86216,-1.91735
BD21 1JG,53.86162,-1.91728
BD21 1JH,53.86099,-1.91647
BD21 1JJ,53.86127,-1.91701
BD21 1JL,53.86192,-1.91827
BD21 1JN,53.86174,-1.91757
BD21 1JP,53.86229,-1.91812
BD21 1JQ,53.86161,-1.91821
BD21 1JR,53.86179,-1.91562
BD21 1JS,53.85995,-1.91616
BD21 1JT,53.85964,-1.91325
BD21 1JW,53.86188,-1.91786
BD21 1JX,53.85889,-1.91482
BD21 1JZ,53.85889,-1.91482
BD21 1LA,53.85572,-1.92106
BD21 1LB,53.85643,-1.91918
BD21 1LD,53.85686,-1.91747
BD21 1LE,53.85758,-1.91653
BD21 1LF,53.85739,-1.91765
BD21 1LG,53.85823,-1.91777
BD21 1LH,53.85884,-1.92052
BD21 1LJ,53.85938,-1.92069
BD21 1LL,53.85981,-1.92233
BD21 1LN,53.85913,-1.92309
BD21 1LP,53.85882,-1.92239
BD21 1LQ,53.85764,-1.91834
BD21 1LR,53.85827,-1.92325
BD21 1LS,53.85794,-1.92259
BD21 1LT,53.85762,-1.92430
BD21 1LU,53.85765,-1.92305
BD21 1LW,53.85960,-1.92280
BD21 1LX,53.85643,-1.92329
BD21 1LY,53.85701,-1.92182
BD21 1LZ,53.85626,-1.92218
BD21 1NA,53.85646,-1.92112
BD21 1NB,53.85598,-1.92187
BD21 1ND,53.85643,-1.92068
BD21 1NE,53.85730,-1.92221
BD21 1NF,53.85767,-1.92147
BD21 1NG,53.85883,-1.92144
BD21 1NH,53.85770,-1.91952
BD21 1NJ,53.85717,-1.91888
BD21 1NL,53.85713,-1.91775
BD21 1NP,53.86444,-1.91166
BD21 1NQ,53.85834,-1.92034
BD21 1NR,53.86420,-1.91154
BD21 1NS,53.86407,-1.91156
BD21 1NT,53.86436,-1.91267
BD21 1NU,53.86446,-1.91332
BD21 1NX,53.86423,-1.91203
BD21 1PF,53.86302,-1.91182
BD21 1PG,53.86295,-1.91373
BD21 1PH,53.86318,-1.91375
BD21 1PJ,53.86308,-1.91340
BD21 1PL,53.86249,-1.92242
BD21 1PN,53.86159,-1.91634
BD21 1PP,53.86509,-1.91413
BD21 1PQ,53.86309,-1.91198
BD21 1PR,53.86306,-1.91600
BD21 1PS,53.86279,-1.91554
BD21 1PT,53.86240,-1.91678
BD21 1PW,53.86290,-1.91626
BD21 1PX,53.86227,-1.91422
BD21 1PY,53.86239,-1.91606
