Postcode,Lat,Lon
BD9 4AA,53.81334,-1.78335
BD9 4AB,53.81358,-1.78353
BD9 4AD,53.81410,-1.78375
BD9 4AE,53.81488,-1.78347
BD9 4AF,53.80221,-1.75586
BD9 4AG,53.81441,-1.78275
BD9 4AH,53.81467,-1.78197
BD9 4AJ,53.81527,-1.78320
BD9 4AL,53.81529,-1.78437
BD9 4AN,53.81518,-1.78467
BD9 4AP,53.81566,-1.78391
BD9 4AQ,53.81315,-1.78282
BD9 4AR,53.81624,-1.78288
BD9 4AS,53.81874,-1.78346
BD9 4AU,53.81632,-1.78436
BD9 4AX,53.81706,-1.78504
BD9 4AY,53.81691,-1.78350
BD9 4AZ,53.81611,-1.78347
BD9 4BA,53.81590,-1.78491
BD9 4BB,53.81585,-1.78628
BD9 4BD,53.81518,-1.78467
BD9 4BE,53.81579,-1.78830
BD9 4BG,53.81553,-1.78818
BD9 4BH,53.81560,-1.78885
BD9 4BJ,53.81636,-1.78925
BD9 4BL,53.81655,-1.79016
BD9 4BN,53.81652,-1.78974
BD9 4BP,53.81658,-1.78927
BD9 4BQ,53.81522,-1.78741
BD9 4BS,53.81713,-1.78784
BD9 4BT,53.81727,-1.78743
BD9 4BU,53.81657,-1.78780
BD9 4BX,53.81657,-1.78740
BD9 4BY,53.81635,-1.78788
BD9 4DA,53.81649,-1.78587
BD9 4DB,53.81618,-1.78722
BD9 4DD,53.81618,-1.78620
BD9 4DE,53.81599,-1.78496
BD9 4DL,53.81651,-1.78081
BD9 4DN,53.81705,-1.78052
BD9 4DP,53.81652,-1.77967
BD9 4DQ,53.81460,-1.78466
BD9 4DR,53.81701,-1.77868
BD9 4DS,53.81854,-1.78151
BD9 4DT,53.81887,-1.78077
BD9 4DU,53.81857,-1.77522
BD9 4DW,53.81780,-1.78174
BD9 4DX,53.81926,-1.77454
BD9 4DY,53.81918,-1.77533
BD9 4DZ,53.81957,-1.77742
BD9 4EA,53.81846,-1.77785
BD9 4EB,53.81788,-1.77738
BD9 4ED,53.82066,-1.77773
BD9 4EE,53.81562,-1.77764
BD9 4EF,53.81579,-1.77860
BD9 4EG,53.82007,-1.77819
BD9 4EH,53.82172,-1.77987
BD9 4EJ,53.82247,-1.78025
BD9 4EL,53.82188,-1.78099
BD9 4EN,53.82148,-1.78052
BD9 4EP,53.82058,-1.78137
BD9 4ER,53.82089,-1.77975
BD9 4ES,53.81966,-1.77976
BD9 4ET,53.82083,-1.77868
BD9 4EU,53.81993,-1.77869
BD9 4EW,53.82116,-1.78104
BD9 4EX,53.82016,-1.77449
BD9 4EY,53.81974,-1.77420
BD9 4EZ,53.81995,-1.77347
BD9 4GA,53.81540,-1.77776
BD9 4HA,53.81926,-1.77354
BD9 4HB,53.81916,-1.77364
BD9 4HD,53.81925,-1.77273
BD9 4HE,53.82068,-1.77321
BD9 4HF,53.82068,-1.77269
BD9 4HG,53.82041,-1.77386
BD9 4HH,53.82065,-1.77412
BD9 4HJ,53.81917,-1.77820
BD9 4HL,53.82142,-1.77424
BD9 4HN,53.82176,-1.77244
BD9 4HP,53.82100,-1.77172
BD9 4HQ,53.82006,-1.77515
BD9 4HS,53.82157,-1.77183
BD9 4HT,53.82239,-1.77189
BD9 4HU,53.82276,-1.77210
BD9 4HW,53.82118,-1.77223
BD9 4HX,53.82147,-1.77054
BD9 4HY,53.82073,-1.77102
BD9 4HZ,53.82066,-1.77034
BD9 4JA,53.82006,-1.77060
BD9 4JB,53.81973,-1.76984
BD9 4JD,53.82003,-1.77124
BD9 4JE,53.81916,-1.77364
BD9 4JF,53.81514,-1.78074
BD9 4JG,53.81737,-1.77669
BD9 4JH,53.81528,-1.78065
BD9 4JJ,53.81549,-1.77503
BD9 4JL,53.81640,-1.77654
BD9 4JN,53.81338,-1.77107
BD9 4JP,53.81455,-1.76982
BD9 4JR,53.81602,-1.77361
BD9 4JT,53.81633,-1.77448
BD9 4JU,53.81771,-1.77422
BD9 4JW,53.81418,-1.77107
BD9 4JX,53.81771,-1.77313
BD9 4JY,53.81772,-1.77224
BD9 4JZ,53.81618,-1.77278
BD9 4LA,53.81671,-1.77107
BD9 4LB,53.81467,-1.77215
BD9 4LD,53.81654,-1.77039
BD9 4LE,53.81626,-1.77209
BD9 4LF,53.81640,-1.77157
BD9 4LG,53.81828,-1.77128
BD9 4LH,53.81886,-1.77360
BD9 4LJ,53.81908,-1.77334
BD9 4LL,53.81880,-1.77258
BD9 4LN,53.81826,-1.77213
BD9 4LP,53.81871,-1.77165
BD9 4LQ,53.81796,-1.77126
BD9 4LR,53.81888,-1.77025
BD9 4LS,53.81971,-1.77121
BD9 4LT,53.82014,-1.77171
BD9 4LU,53.81939,-1.77068
BD9 4LW,53.81858,-1.77188
BD9 4LY,53.81858,-1.76919
BD9 4LZ,53.81884,-1.76846
BD9 4NA,53.80938,-1.76820
BD9 4NB,53.81007,-1.77008
BD9 4ND,53.80972,-1.76991
BD9 4NE,53.81043,-1.77130
BD9 4NF,53.80828,-1.76172
BD9 4NG,53.81058,-1.77238
BD9 4NH,53.81063,-1.77243
BD9 4NJ,53.81030,-1.77325
BD9 4NL,53.81083,-1.77414
BD9 4NN,53.81124,-1.77379
BD9 4NP,53.81090,-1.77256
BD9 4NR,53.80938,-1.76820
BD9 4NS,53.81218,-1.77161
BD9 4NT,53.81218,-1.77606
BD9 4NU,53.81329,-1.77829
BD9 4NX,53.81252,-1.77811
BD9 4PA,53.81193,-1.77717
BD9 4PB,53.81146,-1.77634
BD9 4PD,53.81115,-1.77737
BD9 4PE,53.81143,-1.77813
BD9 4PF,53.81198,-1.77823
BD9 4PG,53.81198,-1.77975
BD9 4PH,53.81083,-1.77797
BD9 4PJ,53.81085,-1.77807
BD9 4PL,53.81120,-1.77856
BD9 4PN,53.81096,-1.77911
BD9 4PP,53.81077,-1.77941
BD9 4PQ,53.81196,-1.77962
BD9 4PR,53.81053,-1.77838
BD9 4PS,53.81032,-1.77884
BD9 4PT,53.80838,-1.77370
BD9 4PU,53.80891,-1.76884
BD9 4PW,53.81115,-1.77968
BD9 4PX,53.80922,-1.77022
BD9 4PY,53.80974,-1.77077
BD9 4PZ,53.80838,-1.77370
BD9 4QA,53.80918,-1.77123
BD9 4QB,53.80875,-1.77128
BD9 4QD,53.80974,-1.77182
BD9 4QE,53.81014,-1.77208
BD9 4QH,53.80893,-1.77328
BD9 4QJ,53.80948,-1.77380
BD9 4QL,53.81140,-1.77566
BD9 4QN,53.81084,-1.77570
BD9 4QP,53.81045,-1.77741
BD9 4QQ,53.80954,-1.77252
BD9 4QR,53.80990,-1.77761
BD9 4QS,53.81047,-1.77545
BD9 4QT,53.80932,-1.77460
BD9 4QU,53.80848,-1.77457
BD9 4QW,53.80959,-1.77293
BD9 4QX,53.80868,-1.77518
BD9 4QY,53.80959,-1.77520
BD9 4QZ,53.80942,-1.77564
BD9 4RA,53.80983,-1.77680
BD9 4RB,53.80935,-1.77593
BD9 4RD,53.80830,-1.77593
BD9 4RE,53.80849,-1.77681
BD9 4RH,53.80918,-1.77720
BD9 4RJ,53.80921,-1.77757
BD9 4RP,53.81217,-1.78287
BD9 4RQ,53.80922,-1.77670
BD9 4RR,53.81253,-1.78261
BD9 4RS,53.81268,-1.78248
BD9 4RT,53.81281,-1.78215
BD9 4RU,53.81240,-1.78173
BD9 4RX,53.81165,-1.78015
BD9 4RY,53.81167,-1.78082
BD9 4RZ,53.81157,-1.78161
BD9 4SA,53.80811,-1.77926
BD9 4SB,53.80963,-1.78100
BD9 4SD,53.80919,-1.77905
BD9 4SH,53.81044,-1.78089
BD9 4SJ,53.80839,-1.77977
BD9 4SL,53.80839,-1.78129
BD9 4SN,53.80764,-1.78098
BD9 4SP,53.80801,-1.78138
BD9 4SQ,53.81011,-1.77971
BD9 4SR,53.80798,-1.78283
BD9 4SS,53.80907,-1.78250
BD9 4ST,53.80795,-1.78242
BD9 4SU,53.81923,-1.77183
BD9 4SW,53.80879,-1.78234
BD9 4WA,53.80879,-1.78234
BD9 4WB,53.80264,-1.75584
BD9 4WD,53.80223,-1.75588
BD9 4WL,53.80221,-1.75586
BD9 4WP,53.79666,-1.75117
BD9 4WQ,53.79666,-1.75117
BD9 4WR,53.79666,-1.75117
BD9 4WS,53.79666,-1.75117
BD9 4WT,53.80264,-1.75584
BD9 4WU,53.80221,-1.75586
BD9 4WW,53.79666,-1.75117
BD9 4WX,53.80879,-1.78234
BD9 4WY,53.80879,-1.78234
BD9 4WZ,53.80879,-1.78234
BD9 4XA,53.79666,-1.75117
BD9 4XB,53.80840,-1.78433
BD9 4XD,53.80221,-1.75586
BD9 4XE,53.81539,-1.77775
BD9 4XF,53.81539,-1.77775
BD9 4XG,53.80840,-1.78433
BD9 4XH,53.79666,-1.75117
BD9 4XJ,53.81539,-1.77775
BD9 4XL,53.80840,-1.78433
BD9 4XN,53.80840,-1.78433
BD9 4XP,53.81328,-1.77817
BD9 4XQ,53.80221,-1.75586
BD9 4XR,53.79666,-1.75117
BD9 4XS,53.81328,-1.77817
BD9 4XT,53.81328,-1.77817
BD9 4XU,53.81327,-1.77817
BD9 4XW,53.79666,-1.75117
BD9 4XX,53.81539,-1.77775
BD9 4XY,53.81328,-1.77817
BD9 4XZ,53.81327,-1.77817
BD9 4YA,53.80840,-1.78433
BD9 4YB,53.80840,-1.78433
BD9 4YD,53.80840,-1.78433
BD9 4YE,53.79666,-1.75117
BD9 4YF,53.80840,-1.78433
BD9 4YG,53.81328,-1.77817
BD9 4YH,53.81327,-1.77817
BD9 4YJ,53.80840,-1.78433
